path,action,target,when,host_cleanup
skills/deck-autopilot/SKILL.md,RETIRE_THEN_DELETE,有用方法迁入deck-master/references；原Skill退出安装与默认路由,WP04不再注册安装，WP05删受版本控制原文件,只删本安装器明确拥有且未被用户修改的链接/文件；同名第三方Skill不动
skills/deck-brief/SKILL.md,RETIRE_THEN_DELETE,有用方法迁入deck-master/references；原Skill退出安装与默认路由,WP04不再注册安装，WP05删受版本控制原文件,只删本安装器明确拥有且未被用户修改的链接/文件；同名第三方Skill不动
skills/deck-builder-high-density/SKILL.md,RETIRE_THEN_DELETE,有用方法迁入deck-master/references；原Skill退出安装与默认路由,WP04不再注册安装，WP05删受版本控制原文件,只删本安装器明确拥有且未被用户修改的链接/文件；同名第三方Skill不动
skills/deck-builder/SKILL.md,RETIRE_THEN_DELETE,有用方法迁入deck-master/references；原Skill退出安装与默认路由,WP04不再注册安装，WP05删受版本控制原文件,只删本安装器明确拥有且未被用户修改的链接/文件；同名第三方Skill不动
skills/deck-doctor/SKILL.md,RETIRE_THEN_DELETE,有用方法迁入deck-master/references；原Skill退出安装与默认路由,WP04不再注册安装，WP05删受版本控制原文件,只删本安装器明确拥有且未被用户修改的链接/文件；同名第三方Skill不动
skills/deck-init/SKILL.md,RETIRE_THEN_DELETE,有用方法迁入deck-master/references；原Skill退出安装与默认路由,WP04不再注册安装，WP05删受版本控制原文件,只删本安装器明确拥有且未被用户修改的链接/文件；同名第三方Skill不动
skills/deck-learn/SKILL.md,RETIRE_THEN_DELETE,有用方法迁入deck-master/references；原Skill退出安装与默认路由,WP04不再注册安装，WP05删受版本控制原文件,只删本安装器明确拥有且未被用户修改的链接/文件；同名第三方Skill不动
skills/deck-master/SKILL.md,REWRITE,skills/deck-master/SKILL.md,WP04不再注册安装，WP05删受版本控制原文件,只删本安装器明确拥有且未被用户修改的链接/文件；同名第三方Skill不动
skills/deck-planner/SKILL.md,RETIRE_THEN_DELETE,有用方法迁入deck-master/references；原Skill退出安装与默认路由,WP04不再注册安装，WP05删受版本控制原文件,只删本安装器明确拥有且未被用户修改的链接/文件；同名第三方Skill不动
skills/deck-producer/SKILL.md,RETIRE_THEN_DELETE,有用方法迁入deck-master/references；原Skill退出安装与默认路由,WP04不再注册安装，WP05删受版本控制原文件,只删本安装器明确拥有且未被用户修改的链接/文件；同名第三方Skill不动
skills/deck-quality/SKILL.md,RETIRE_THEN_DELETE,有用方法迁入deck-master/references；原Skill退出安装与默认路由,WP04不再注册安装，WP05删受版本控制原文件,只删本安装器明确拥有且未被用户修改的链接/文件；同名第三方Skill不动
skills/deck-review/SKILL.md,RETIRE_THEN_DELETE,有用方法迁入deck-master/references；原Skill退出安装与默认路由,WP04不再注册安装，WP05删受版本控制原文件,只删本安装器明确拥有且未被用户修改的链接/文件；同名第三方Skill不动
skills/deck-setup/SKILL.md,RETIRE_THEN_DELETE,有用方法迁入deck-master/references；原Skill退出安装与默认路由,WP04不再注册安装，WP05删受版本控制原文件,只删本安装器明确拥有且未被用户修改的链接/文件；同名第三方Skill不动
skills/deck-sourcing/SKILL.md,RETIRE_THEN_DELETE,有用方法迁入deck-master/references；原Skill退出安装与默认路由,WP04不再注册安装，WP05删受版本控制原文件,只删本安装器明确拥有且未被用户修改的链接/文件；同名第三方Skill不动
skills/deck-upgrade/SKILL.md,RETIRE_THEN_DELETE,有用方法迁入deck-master/references；原Skill退出安装与默认路由,WP04不再注册安装，WP05删受版本控制原文件,只删本安装器明确拥有且未被用户修改的链接/文件；同名第三方Skill不动
skills/ppt-deck-pro-max/SKILL.md,RETIRE_THEN_DELETE,有用方法迁入deck-master/references；原Skill退出安装与默认路由,WP04不再注册安装，WP05删受版本控制原文件,只删本安装器明确拥有且未被用户修改的链接/文件；同名第三方Skill不动
skills/ppt-library/SKILL.md,RETIRE_THEN_DELETE,有用方法迁入deck-master/references；原Skill退出安装与默认路由,WP04不再注册安装，WP05删受版本控制原文件,只删本安装器明确拥有且未被用户修改的链接/文件；同名第三方Skill不动
skills/ppt-master/SKILL.md,RETIRE_THEN_DELETE,有用方法迁入deck-master/references；原Skill退出安装与默认路由,WP04不再注册安装，WP05删受版本控制原文件,只删本安装器明确拥有且未被用户修改的链接/文件；同名第三方Skill不动
skills/ppt-quality-gate/SKILL.md,RETIRE_THEN_DELETE,有用方法迁入deck-master/references；原Skill退出安装与默认路由,WP04不再注册安装，WP05删受版本控制原文件,只删本安装器明确拥有且未被用户修改的链接/文件；同名第三方Skill不动
